startDateTime,endDateTime,priPrecipBulk,priPrecipNumPts,priPrecipExpUncert,priPrecipFinalQF
"2017-05-01T00:00:00Z","2017-05-01T00:30:00Z",0.000,6.000,0.000,0
"2017-05-01T00:30:00Z","2017-05-01T01:00:00Z",0.000,6.000,0.000,0
"2017-05-01T01:00:00Z","2017-05-01T01:30:00Z",0.000,6.000,0.000,0
"2017-05-01T01:30:00Z","2017-05-01T02:00:00Z",0.000,6.000,0.000,0
"2017-05-01T02:00:00Z","2017-05-01T02:30:00Z",0.000,6.000,0.000,0
"2017-05-01T02:30:00Z","2017-05-01T03:00:00Z",0.030,6.000,0.001,0
"2017-05-01T03:00:00Z","2017-05-01T03:30:00Z",0.000,6.000,0.000,0
"2017-05-01T03:30:00Z","2017-05-01T04:00:00Z",0.000,6.000,0.000,0
"2017-05-01T04:00:00Z","2017-05-01T04:30:00Z",0.000,6.000,0.000,0
"2017-05-01T04:30:00Z","2017-05-01T05:00:00Z",0.000,6.000,0.000,0
"2017-05-01T05:00:00Z","2017-05-01T05:30:00Z",0.000,6.000,0.000,0
"2017-05-01T05:30:00Z","2017-05-01T06:00:00Z",0.000,6.000,0.000,0
"2017-05-01T06:00:00Z","2017-05-01T06:30:00Z",0.020,6.000,0.001,0
"2017-05-01T06:30:00Z","2017-05-01T07:00:00Z",0.000,6.000,0.000,0
"2017-05-01T07:00:00Z","2017-05-01T07:30:00Z",0.000,6.000,0.000,1
"2017-05-01T07:30:00Z","2017-05-01T08:00:00Z",0.020,6.000,0.001,1
"2017-05-01T08:00:00Z","2017-05-01T08:30:00Z",0.000,6.000,0.000,1
"2017-05-01T08:30:00Z","2017-05-01T09:00:00Z",0.000,6.000,0.000,1
"2017-05-01T09:00:00Z","2017-05-01T09:30:00Z",0.000,6.000,0.000,1
"2017-05-01T09:30:00Z","2017-05-01T10:00:00Z",0.000,6.000,0.000,1
"2017-05-01T10:00:00Z","2017-05-01T10:30:00Z",0.000,6.000,0.000,1
"2017-05-01T10:30:00Z","2017-05-01T11:00:00Z",0.000,6.000,0.000,1
"2017-05-01T11:00:00Z","2017-05-01T11:30:00Z",0.000,6.000,0.000,1
"2017-05-01T11:30:00Z","2017-05-01T12:00:00Z",0.000,6.000,0.000,1
"2017-05-01T12:00:00Z","2017-05-01T12:30:00Z",0.000,6.000,0.000,1
"2017-05-01T12:30:00Z","2017-05-01T13:00:00Z",0.000,6.000,0.000,1
