startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2017-04-01T00:00:00Z","2017-04-01T00:30:00Z",95.88,95.47,96.18,0.04,900,2.20,0.01,0,-2.449,-2.480,-2.430,0.000,900,0.190,0.000,0,-2.709,-2.760,-2.670,0.001,900,0.170,0.001,0
"2017-04-01T00:30:00Z","2017-04-01T01:00:00Z",94.97,94.53,95.69,0.13,900,2.20,0.01,0,-2.353,-2.490,-2.230,0.006,900,0.190,0.003,0,-2.738,-2.810,-2.660,0.002,900,0.171,0.001,0
"2017-04-01T01:00:00Z","2017-04-01T01:30:00Z",94.97,94.53,95.34,0.05,900,2.20,0.01,0,-2.541,-2.640,-2.410,0.004,900,0.190,0.002,0,-2.905,-2.980,-2.800,0.003,900,0.171,0.002,0
"2017-04-01T01:30:00Z","2017-04-01T02:00:00Z",95.20,94.99,95.36,0.01,900,2.20,0.00,0,-2.665,-2.690,-2.640,0.000,900,0.190,0.000,0,-2.985,-3.000,-2.960,0.000,900,0.170,0.000,0
"2017-04-01T02:00:00Z","2017-04-01T02:30:00Z",94.97,94.78,95.29,0.02,900,2.20,0.00,0,-2.510,-2.650,-2.420,0.005,900,0.190,0.002,0,-2.876,-2.970,-2.790,0.003,900,0.170,0.002,0
"2017-04-01T02:30:00Z","2017-04-01T03:00:00Z",95.30,94.88,95.72,0.06,900,2.20,0.01,0,-2.393,-2.470,-2.260,0.004,900,0.190,0.002,0,-2.731,-2.790,-2.670,0.001,900,0.170,0.001,0
"2017-04-01T03:00:00Z","2017-04-01T03:30:00Z",95.20,94.96,95.44,0.02,900,2.20,0.00,0,-2.263,-2.310,-2.210,0.001,900,0.190,0.001,0,-2.631,-2.680,-2.560,0.000,900,0.170,0.001,0
"2017-04-01T03:30:00Z","2017-04-01T04:00:00Z",95.27,94.88,95.65,0.05,900,2.20,0.01,0,-2.111,-2.230,-1.990,0.006,900,0.190,0.003,0,-2.487,-2.560,-2.400,0.002,900,0.170,0.002,0
"2017-04-01T04:00:00Z","2017-04-01T04:30:00Z",95.16,94.89,95.44,0.02,900,2.20,0.00,0,-2.045,-2.120,-1.970,0.002,900,0.190,0.002,0,-2.443,-2.540,-2.390,0.002,900,0.170,0.002,0
"2017-04-01T04:30:00Z","2017-04-01T05:00:00Z",94.87,94.35,95.35,0.08,900,2.20,0.01,0,-2.093,-2.160,-2.000,0.002,900,0.190,0.002,0,-2.522,-2.550,-2.480,0.000,900,0.171,0.001,0
"2017-04-01T05:00:00Z","2017-04-01T05:30:00Z",94.86,94.49,95.32,0.03,900,2.20,0.01,0,-1.918,-2.020,-1.740,0.005,900,0.190,0.002,0,-2.369,-2.480,-2.230,0.005,900,0.171,0.002,0
"2017-04-01T05:30:00Z","2017-04-01T06:00:00Z",94.58,93.97,95.11,0.08,900,2.20,0.01,0,-1.683,-1.760,-1.570,0.004,900,0.190,0.002,0,-2.198,-2.240,-2.160,0.001,900,0.171,0.001,0
"2017-04-01T06:00:00Z","2017-04-01T06:30:00Z",94.80,94.55,95.13,0.02,900,2.20,0.01,0,-1.655,-1.760,-1.590,0.002,900,0.190,0.001,0,-2.144,-2.190,-2.080,0.001,900,0.171,0.001,0
"2017-04-01T06:30:00Z","2017-04-01T07:00:00Z",94.77,94.50,95.10,0.02,900,2.20,0.01,0,-1.568,-1.650,-1.510,0.001,900,0.190,0.001,0,-2.072,-2.110,-2.040,0.000,900,0.171,0.001,0
"2017-04-01T07:00:00Z","2017-04-01T07:30:00Z",95.47,94.84,95.88,0.12,900,2.20,0.01,0,-1.618,-1.720,-1.450,0.005,900,0.190,0.002,0,-2.029,-2.120,-1.960,0.002,900,0.170,0.002,0
"2017-04-01T07:30:00Z","2017-04-01T08:00:00Z",94.21,93.86,94.87,0.07,900,2.20,0.01,0,-1.339,-1.470,-1.290,0.002,900,0.190,0.001,0,-1.940,-1.970,-1.900,0.000,900,0.171,0.000,0
"2017-04-01T08:00:00Z","2017-04-01T08:30:00Z",94.94,94.28,95.30,0.07,900,2.20,0.01,0,-1.439,-1.500,-1.360,0.001,900,0.190,0.001,0,-1.937,-1.990,-1.910,0.000,900,0.171,0.001,0
"2017-04-01T08:30:00Z","2017-04-01T09:00:00Z",95.61,94.93,96.03,0.09,900,2.20,0.01,0,-1.598,-1.670,-1.500,0.002,900,0.190,0.001,0,-1.993,-2.030,-1.950,0.000,900,0.170,0.001,0
"2017-04-01T09:00:00Z","2017-04-01T09:30:00Z",95.43,95.09,95.68,0.03,900,2.20,0.01,0,-1.618,-1.710,-1.570,0.001,900,0.190,0.001,0,-2.032,-2.110,-1.990,0.001,900,0.170,0.001,0
"2017-04-01T09:30:00Z","2017-04-01T10:00:00Z",95.29,94.84,95.58,0.03,900,2.20,0.01,0,-1.717,-1.760,-1.650,0.001,900,0.190,0.001,0,-2.138,-2.170,-2.100,0.000,900,0.170,0.001,0
"2017-04-01T10:00:00Z","2017-04-01T10:30:00Z",95.72,95.37,95.96,0.02,900,2.20,0.00,0,-1.808,-1.830,-1.760,0.000,900,0.190,0.001,0,-2.163,-2.200,-2.130,0.000,900,0.170,0.001,0
"2017-04-01T10:30:00Z","2017-04-01T11:00:00Z",95.16,94.52,95.55,0.11,900,2.20,0.01,0,-1.767,-1.810,-1.700,0.001,900,0.190,0.001,0,-2.198,-2.230,-2.180,0.000,900,0.171,0.000,0
"2017-04-01T11:00:00Z","2017-04-01T11:30:00Z",94.88,94.49,95.32,0.06,900,2.20,0.01,0,-1.754,-1.800,-1.700,0.001,900,0.190,0.001,0,-2.222,-2.240,-2.200,0.000,900,0.171,0.000,0
"2017-04-01T11:30:00Z","2017-04-01T12:00:00Z",95.49,94.71,95.88,0.11,900,2.20,0.01,0,-1.785,-1.820,-1.730,0.000,900,0.190,0.001,0,-2.173,-2.230,-2.130,0.001,900,0.170,0.001,0
"2017-04-01T12:00:00Z","2017-04-01T12:30:00Z",95.61,95.25,95.83,0.03,900,2.20,0.01,0,-1.712,-1.780,-1.630,0.002,900,0.190,0.001,0,-2.093,-2.130,-2.050,0.000,900,0.170,0.001,0
"2017-04-01T12:30:00Z","2017-04-01T13:00:00Z",95.29,94.83,95.64,0.04,900,2.20,0.01,0,-1.569,-1.630,-1.490,0.002,900,0.190,0.002,0,-2.007,-2.050,-1.960,0.001,900,0.170,0.001,0
"2017-04-01T13:00:00Z","2017-04-01T13:30:00Z",95.47,95.07,95.84,0.03,900,2.20,0.01,0,-1.465,-1.500,-1.400,0.001,900,0.190,0.001,0,-1.893,-1.960,-1.850,0.001,900,0.170,0.001,0
"2017-04-01T13:30:00Z","2017-04-01T14:00:00Z",94.75,94.22,95.44,0.11,900,2.20,0.01,0,-1.336,-1.410,-1.280,0.001,900,0.190,0.001,0,-1.870,-1.930,-1.830,0.000,900,0.171,0.001,0
"2017-04-01T14:00:00Z","2017-04-01T14:30:00Z",94.07,93.21,94.75,0.18,900,2.20,0.01,0,-1.197,-1.290,-1.090,0.003,900,0.190,0.002,0,-1.834,-1.920,-1.730,0.002,900,0.172,0.001,0
