uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
"c74c129d-306d-4458-afee-1e6c698b32ef","HARV_020.tickPlot.tck","HARV_020","2017-07-10T06:42Z","2018-01-27T17:00Z","HARV_020.20170710","HARV_020.20170710.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",2,"OK","90% ethanol","USNMENT01358863","HARV_020.20170710.DERVAR.M","Lorenza Beati","Georgia Southern University","TO PAULA"
"7f01251f-6d94-441e-81d4-1229a2f13d86","HARV_020.tickPlot.tck","HARV_020","2017-07-10T06:42Z","2018-01-27T17:00Z","HARV_020.20170710","HARV_020.20170710.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",3,"OK","90% ethanol","USNMENT01358862","HARV_020.20170710.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"6e045091-f06c-4fdb-b6c1-3ed02ff3f2d1","HARV_022.tickPlot.tck","HARV_022","2017-07-10T12:12Z","2018-01-22T17:00Z","HARV_022.20170710","HARV_022.20170710.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",7,"OK","90% ethanol","USNMENT01358859","HARV_022.20170710.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"b771eb98-aed2-4aea-b96d-3ca71f9d6415","HARV_022.tickPlot.tck","HARV_022","2017-07-10T12:12Z","2017-10-22T16:00Z","HARV_022.20170710","HARV_022.20170710.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,"Larva",3,"OK","90% ethanol","USNMENT01358858","HARV_022.20170710.L","Guy Hobbs","Georgia Southern University",
"dc44771e-6c48-47c6-99e4-e7a37cacf8aa","HARV_006.tickPlot.tck","HARV_006","2017-07-10T14:00Z","2018-01-22T17:00Z","HARV_006.20170710","HARV_006.20170710.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358857","HARV_006.20170710.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"6e8a26a2-3231-4364-a1ae-fd20afccdf4f","HARV_006.tickPlot.tck","HARV_006","2017-07-10T14:00Z","2018-01-22T17:00Z","HARV_006.20170710","HARV_006.20170710.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","USNMENT01358856","HARV_006.20170710.DERVAR.F","Lorenza Beati","Georgia Southern University","TO PAULA"
"b56344d8-0f6c-4245-a435-d79c9d8843be","HARV_026.tickPlot.tck","HARV_026","2017-07-10T15:03Z","2018-01-22T17:00Z","HARV_026.20170710","HARV_026.20170710.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",2,"OK","90% ethanol","USNMENT01358853","HARV_026.20170710.IXOSCA.N","Lorenza Beati","Georgia Southern University",
"d7b4bb52-cc10-4129-a7a9-c2db526a6be6","HARV_026.tickPlot.tck","HARV_026","2017-07-10T15:03Z","2018-01-22T17:00Z","HARV_026.20170710","HARV_026.20170710.IXOSCA.M","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358852","HARV_026.20170710.IXOSCA.M","Lorenza Beati","Georgia Southern University",
"c04fec46-68af-4668-8b1c-3dd83cce66e9","HARV_001.tickPlot.tck","HARV_001","2017-07-10T16:30Z","2018-01-22T17:00Z","HARV_001.20170710","HARV_001.20170710.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","USNMENT01358855","HARV_001.20170710.DERVAR.F","Lorenza Beati","Georgia Southern University","TO PAULA"
"c57f9fbe-ac0a-4bee-b414-89f4a9f15f2c","HARV_001.tickPlot.tck","HARV_001","2017-07-10T16:30Z","2018-01-22T17:00Z","HARV_001.20170710","HARV_001.20170710.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",8,"OK","90% ethanol","USNMENT01358854","HARV_001.20170710.IXOSCA.N","Lorenza Beati","Georgia Southern University",
